date,share
2018-12-31,93.28
2019-01-31,93.24
2019-02-28,93.17
2019-03-31,93.11
2019-04-30,93.05
2019-05-31,92.99
2019-06-30,93.17
2019-07-31,93.09
2019-08-31,93.05
2019-09-30,92.99
2019-10-31,92.95
2019-11-30,92.86
2019-12-31,92.73
2020-01-31,92.44
2020-02-29,92.36
2020-03-31,92.27
2020-04-30,92.2
2020-05-31,92.12
2020-06-30,92.04
2020-07-31,91.94
2020-08-31,91.86
2020-09-30,91.78
2020-10-31,91.69
2020-11-30,91.59
2020-12-31,91.4
2021-01-31,91.33
2021-02-28,91.32
2021-03-31,91.2
2021-04-30,91.03
2021-05-31,90.93
2021-06-30,90.85
2021-07-31,90.75
2021-08-31,90.64
2021-09-30,90.53
2021-10-31,90.44
2021-11-30,90.32
2021-12-31,90.19
2022-01-31,90.07
2022-02-28,89.92
2022-03-31,89.69
2022-04-30,89.55
2022-05-31,89.39
2022-06-30,88.38
2022-07-31,88.22
2022-08-31,88.08
2022-09-30,87.93
2022-10-31,87.75
2022-11-30,87.51
2022-12-31,87.17
2023-01-31,86.79
2023-02-28,86.41
2023-03-31,86.04
2023-04-30,85.78
2023-05-31,85.42
2023-06-30,84.87
2023-07-31,84.17
2023-08-31,83.23
2023-09-30,82.19
2023-10-31,80.96
2023-11-30,79.6
2023-12-31,78.18
2024-01-31,76.84
2024-02-29,75.73
2024-03-31,74.53
2024-04-30,73.12
2024-05-31,71.65
2024-06-30,69.94
2024-07-31,68.9
2024-08-31,67.51
2024-09-30,66.23
2024-10-31,64.86
2024-11-30,63.61
2024-12-31,62.2
2025-01-31,61.25
2025-02-28,60.07
2025-03-31,59.18
2025-04-30,58.3
2025-05-31,56.98
2025-06-30,56.14
